raw_filename,processed_filename,modality,phase2_status,phase3_status,overall_quality_score,decision,is_approved_for_ai,routed_location,reason,error
octa_sample_1.tif,octa_sample_1_processed.png,octa,SUCCESS,SUCCESS,100.0,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\octa\octa_sample_1_processed.png,Meets all technical quality criteria for downstream AI processing.,
octa_sample_2.tif,octa_sample_2_processed.png,octa,SUCCESS,SUCCESS,99.81,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\octa\octa_sample_2_processed.png,Meets all technical quality criteria for downstream AI processing.,
octa_sample_3.tif,octa_sample_3_processed.png,octa,SUCCESS,SUCCESS,100.0,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\octa\octa_sample_3_processed.png,Meets all technical quality criteria for downstream AI processing.,
octa_sample_4.tif,octa_sample_4_processed.png,octa,SUCCESS,SUCCESS,100.0,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\octa\octa_sample_4_processed.png,Meets all technical quality criteria for downstream AI processing.,
octa_sample_5.tif,octa_sample_5_processed.png,octa,SUCCESS,SUCCESS,100.0,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\octa\octa_sample_5_processed.png,Meets all technical quality criteria for downstream AI processing.,
octb_sample_1.tif,octb_sample_1_processed.png,octb,SUCCESS,SUCCESS,99.61,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\octb\octb_sample_1_processed.png,Meets all technical quality criteria for downstream AI processing.,
octb_sample_2.tif,octb_sample_2_processed.png,octb,SUCCESS,SUCCESS,100.0,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\octb\octb_sample_2_processed.png,Meets all technical quality criteria for downstream AI processing.,
octb_sample_3.tif,octb_sample_3_processed.png,octb,SUCCESS,SUCCESS,99.48,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\octb\octb_sample_3_processed.png,Meets all technical quality criteria for downstream AI processing.,
octb_sample_4.tif,octb_sample_4_processed.png,octb,SUCCESS,SUCCESS,100.0,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\octb\octb_sample_4_processed.png,Meets all technical quality criteria for downstream AI processing.,
octb_sample_5.tif,octb_sample_5_processed.png,octb,SUCCESS,SUCCESS,94.44,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\octb\octb_sample_5_processed.png,Meets all technical quality criteria for downstream AI processing.,
fundus_sample_1.tif,fundus_sample_1_processed.png,fundus,SUCCESS,SUCCESS,99.69,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\fundus\fundus_sample_1_processed.png,Meets all technical quality criteria for downstream AI processing.,
fundus_sample_2.tif,fundus_sample_2_processed.png,fundus,SUCCESS,SUCCESS,99.83,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\fundus\fundus_sample_2_processed.png,Meets all technical quality criteria for downstream AI processing.,
fundus_sample_3.tif,fundus_sample_3_processed.png,fundus,SUCCESS,SUCCESS,100.0,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\fundus\fundus_sample_3_processed.png,Meets all technical quality criteria for downstream AI processing.,
fundus_sample_4.tif,fundus_sample_4_processed.png,fundus,SUCCESS,SUCCESS,99.65,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\fundus\fundus_sample_4_processed.png,Meets all technical quality criteria for downstream AI processing.,
fundus_sample_5.tif,fundus_sample_5_processed.png,fundus,SUCCESS,SUCCESS,100.0,ACCEPT,True,C:\Users\Pratham\project\MAJOR-PROJECT\project_backend\datasets\approved\fundus\fundus_sample_5_processed.png,Meets all technical quality criteria for downstream AI processing.,
